sequence_number,score,value
528,69.71,01:37.79
529,69.66,01:37.80
530,69.62,01:37.81
531,69.57,01:37.82
532,69.52,01:37.83
533,69.47,01:37.84
534,69.42,01:37.85
535,69.38,01:37.86
536,69.33,01:37.87
537,69.28,01:37.88
538,69.23,01:37.89
539,69.18,01:37.90
540,69.13,01:37.91
541,69.09,01:37.92
542,69.04,01:37.93
543,68.99,01:37.94
544,68.94,01:37.95
545,68.89,01:37.96
546,68.85,01:37.97
547,68.80,01:37.98
548,68.75,01:37.99
549,68.70,01:38.00
550,68.65,01:38.01
551,68.61,01:38.02
552,68.56,01:38.03
553,68.51,01:38.04
554,68.46,01:38.05
555,68.41,01:38.06
556,68.37,01:38.07
557,68.32,01:38.08
558,68.27,01:38.09
559,68.22,01:38.10
560,68.17,01:38.11
561,68.13,01:38.12
562,68.08,01:38.13
563,68.03,01:38.14
564,67.98,01:38.15
565,67.93,01:38.16
566,67.88,01:38.17
567,67.84,01:38.18
568,67.79,01:38.19
569,67.74,01:38.20
570,67.69,01:38.21
571,67.64,01:38.22
572,67.60,01:38.23
573,67.55,01:38.24
574,67.50,01:38.25
575,67.45,01:38.26
576,67.40,01:38.27
577,67.35,01:38.28
578,67.30,01:38.29
579,67.25,01:38.30
580,67.20,01:38.31
581,67.15,01:38.32
582,67.10,01:38.33
583,67.05,01:38.34
584,67.00,01:38.35
585,66.95,01:38.36
586,66.90,01:38.37
587,66.85,01:38.38
588,66.80,01:38.39
589,66.75,01:38.40
590,66.70,01:38.41
591,66.65,01:38.42
592,66.60,01:38.43
593,66.55,01:38.44
594,66.50,01:38.45
595,66.45,01:38.46
596,66.40,01:38.47
597,66.35,01:38.48
598,66.30,01:38.49
599,66.25,01:38.50
600,66.20,01:38.51
601,66.15,01:38.52
602,66.10,01:38.53
603,66.05,01:38.54
604,66.00,01:38.55
605,65.95,01:38.56
606,65.90,01:38.57
607,65.85,01:38.58
608,65.80,01:38.59
609,65.75,01:38.60
610,65.70,01:38.61
611,65.65,01:38.62
612,65.60,01:38.63
613,65.55,01:38.64
614,65.50,01:38.65
615,65.45,01:38.66
616,65.40,01:38.67
617,65.35,01:38.68
618,65.30,01:38.69
619,65.25,01:38.70
620,65.20,01:38.71
621,65.15,01:38.72
622,65.10,01:38.73
623,65.05,01:38.74
624,65.00,01:38.75
625,64.95,01:38.76
626,64.90,01:38.77
627,64.84,01:38.78
628,64.79,01:38.79
629,64.74,01:38.80
630,64.69,01:38.81
631,64.64,01:38.82
632,64.58,01:38.83
633,64.53,01:38.84
634,64.48,01:38.85
635,64.43,01:38.86
636,64.38,01:38.87
637,64.32,01:38.88
638,64.27,01:38.89
639,64.22,01:38.90
640,64.17,01:38.91
641,64.11,01:38.92
642,64.06,01:38.93
643,64.01,01:38.94
644,63.96,01:38.95
645,63.91,01:38.96
646,63.85,01:38.97
647,63.80,01:38.98
648,63.75,01:38.99
649,63.70,01:39.00
650,63.65,01:39.01
651,63.59,01:39.02
652,63.54,01:39.03
653,63.49,01:39.04
654,63.44,01:39.05
655,63.39,01:39.06
656,63.33,01:39.07
657,63.28,01:39.08
658,63.23,01:39.09
659,63.18,01:39.10
660,63.13,01:39.11
661,63.07,01:39.12
662,63.02,01:39.13
663,62.97,01:39.14
664,62.92,01:39.15
665,62.86,01:39.16
666,62.81,01:39.17
667,62.76,01:39.18
668,62.71,01:39.19
669,62.66,01:39.20
670,62.60,01:39.21
671,62.55,01:39.22
672,62.50,01:39.23
673,62.45,01:39.24
674,62.39,01:39.25
675,62.34,01:39.26
676,62.28,01:39.27
677,62.23,01:39.28
678,62.17,01:39.29
679,62.12,01:39.30
680,62.07,01:39.31
681,62.01,01:39.32
682,61.96,01:39.33
683,61.90,01:39.34
684,61.85,01:39.35
685,61.79,01:39.36
686,61.74,01:39.37
687,61.68,01:39.38
688,61.63,01:39.39
689,61.58,01:39.40
690,61.52,01:39.41
691,61.47,01:39.42
692,61.41,01:39.43
693,61.36,01:39.44
694,61.30,01:39.45
695,61.25,01:39.46
696,61.20,01:39.47
697,61.14,01:39.48
698,61.09,01:39.49
699,61.03,01:39.50
700,60.98,01:39.51
701,60.92,01:39.52
702,60.87,01:39.53
703,60.82,01:39.54
704,60.76,01:39.55
705,60.71,01:39.56
706,60.65,01:39.57
707,60.60,01:39.58
708,60.54,01:39.59
709,60.49,01:39.60
710,60.43,01:39.61
711,60.38,01:39.62
712,60.33,01:39.63
713,60.27,01:39.64
714,60.22,01:39.65
715,60.16,01:39.66
716,60.11,01:39.67
717,60.05,01:39.68
718,60.00,01:39.69
719,59.94,01:39.70
720,59.89,01:39.71
721,59.83,01:39.72
722,59.77,01:39.73
723,59.72,01:39.74
724,59.66,01:39.75
725,59.60,01:39.76
726,59.55,01:39.77
727,59.49,01:39.78
728,59.43,01:39.79
729,59.38,01:39.80
730,59.32,01:39.81
731,59.26,01:39.82
732,59.20,01:39.83
733,59.15,01:39.84
734,59.09,01:39.85
735,59.03,01:39.86
736,58.98,01:39.87
737,58.92,01:39.88
738,58.86,01:39.89
739,58.81,01:39.90
740,58.75,01:39.91
741,58.69,01:39.92
742,58.64,01:39.93
743,58.58,01:39.94
744,58.52,01:39.95
745,58.47,01:39.96
746,58.41,01:39.97
747,58.35,01:39.98
748,58.30,01:39.99
749,58.24,01:40.00
750,58.18,01:40.01
751,58.13,01:40.02
752,58.07,01:40.03
753,58.01,01:40.04
754,57.95,01:40.05
755,57.90,01:40.06
756,57.84,01:40.07
757,40.73,01:42.60
758,40.65,01:42.61
759,40.56,01:42.62
760,40.48,01:42.63
761,40.40,01:42.64
762,40.32,01:42.65
763,40.24,01:42.66
764,40.16,01:42.67
765,40.08,01:42.68
766,40.00,01:42.69
767,39.91,01:42.70
768,39.83,01:42.71
769,39.74,01:42.72
770,39.66,01:42.73
771,39.57,01:42.74
772,39.48,01:42.75
773,39.40,01:42.76
774,39.31,01:42.77
775,39.22,01:42.78
776,39.14,01:42.79
777,39.05,01:42.80
778,38.97,01:42.81
779,38.88,01:42.82
780,38.79,01:42.83
781,38.71,01:42.84
782,38.62,01:42.85
783,38.53,01:42.86
784,38.45,01:42.87
785,38.36,01:42.88
786,38.28,01:42.89
787,38.19,01:42.90
788,38.10,01:42.91
789,38.02,01:42.92
790,37.93,01:42.93
791,37.84,01:42.94
792,37.76,01:42.95
793,37.67,01:42.96
794,37.59,01:42.97
795,37.50,01:42.98
796,37.41,01:42.99
797,37.31,01:43.00
798,37.22,01:43.01
799,37.13,01:43.02
800,37.04,01:43.03
801,36.94,01:43.04
802,36.85,01:43.05
803,36.76,01:43.06
804,36.67,01:43.07
805,36.57,01:43.08
806,36.48,01:43.09
807,36.39,01:43.10
808,36.30,01:43.11
809,36.20,01:43.12
810,36.11,01:43.13
811,36.02,01:43.14
812,35.93,01:43.15
813,35.83,01:43.16
814,35.74,01:43.17
815,35.65,01:43.18
816,35.56,01:43.19
817,35.46,01:43.20
818,35.37,01:43.21
819,35.28,01:43.22
820,35.19,01:43.23
821,35.09,01:43.24
822,35.00,01:43.25
823,34.90,01:43.26
824,34.80,01:43.27
825,34.70,01:43.28
826,34.60,01:43.29
827,34.50,01:43.30
828,34.40,01:43.31
829,34.30,01:43.32
830,34.20,01:43.33
831,34.10,01:43.34
832,34.00,01:43.35
833,33.90,01:43.36
834,33.80,01:43.37
835,33.70,01:43.38
836,33.60,01:43.39
837,33.50,01:43.40
838,33.40,01:43.41
839,33.30,01:43.42
840,33.20,01:43.43
841,33.10,01:43.44
842,33.00,01:43.45
843,32.90,01:43.46
844,32.80,01:43.47
845,32.70,01:43.48
846,32.60,01:43.49
847,32.50,01:43.50
848,32.39,01:43.51
849,32.28,01:43.52
850,32.17,01:43.53
851,32.07,01:43.54
852,31.96,01:43.55
853,31.85,01:43.56
854,31.74,01:43.57
855,31.63,01:43.58
856,31.52,01:43.59
857,31.41,01:43.60
858,31.30,01:43.61
859,31.20,01:43.62
860,31.09,01:43.63
861,30.98,01:43.64
862,30.87,01:43.65
863,30.76,01:43.66
864,30.65,01:43.67
865,30.54,01:43.68
866,30.43,01:43.69
867,30.33,01:43.70
868,30.22,01:43.71
869,30.11,01:43.72
870,30.00,01:43.73
871,29.88,01:43.74
872,29.76,01:43.75
873,29.64,01:43.76
874,29.52,01:43.77
875,29.40,01:43.78
876,29.29,01:43.79
877,29.17,01:43.80
878,29.05,01:43.81
879,28.93,01:43.82
880,28.81,01:43.83
881,28.69,01:43.84
882,28.57,01:43.85
883,28.45,01:43.86
884,28.33,01:43.87
885,28.21,01:43.88
886,28.10,01:43.89
887,27.98,01:43.90
888,27.86,01:43.91
889,27.74,01:43.92
890,27.62,01:43.93
891,27.50,01:43.94
